ds,yhat,yhat_lower,yhat_upper
2022-02-28,0.0,,
2022-03-31,0.0,,
2022-04-30,0.0,,
2022-05-31,0.0,,
2022-06-30,0.0,,
2022-07-31,0.0,,
2022-08-31,0.0,,
2022-09-30,0.0,,
2022-10-31,0.0,,
2022-11-30,0.0,,
2022-12-31,-0.0221239239351151,-0.6038708957636705,0.5596230478934401
2023-01-31,-0.00704091301296,-0.5928867154008337,0.5788048893749136
2023-02-28,-0.005926411624522,-0.6083696475787972,0.5965168243297532
2023-03-31,-0.0073298024440728,-0.6237518200824371,0.6090922151942914
2023-04-30,-0.0192919790890624,-0.6496694715231555,0.6110855133450304
2023-05-31,-0.0198990996937304,-0.6638905506960489,0.6240923513085879
2023-06-30,-0.0210684063692973,-0.6783972490410681,0.6362604363024735
2023-07-31,-0.0329296803591688,-0.7033298973108753,0.6374705365925375
2023-08-31,-0.0353210794585129,-0.7185427344933193,0.6479005755762934
2023-09-30,-0.0387082304513076,-0.7345150930829536,0.6570986321803385
2023-10-31,-0.0547871651430103,-0.76295561465318,0.6533812843671591
2023-11-30,-0.0574887449617185,-0.7778066715148539,0.6628291815914169
2023-12-31,-0.0616458693613882,-0.7939117212188994,0.6706199824961229
2024-01-31,-0.0489845563440131,-0.7930064916875663,0.6950373789995401
2024-02-29,-0.051957130666964,-0.8075522621686861,0.7036380008347582
2024-03-31,-0.0552492126434217,-0.8222429318000437,0.7117445065132004
2024-04-30,-0.0533536005087303,-0.8315789712737347,0.7248717702562741
2024-05-31,-0.0569506212598154,-0.8462478340883844,0.7323465915687536
2024-06-30,-0.0598099690376555,-0.860025847820104,0.7404059097447929
2024-07-31,-0.0763188594769105,-0.8873064149499803,0.734668695996159
2024-08-31,-0.0781098625857986,-0.8997278867361967,0.7435081615645994
2024-09-30,-0.0786463790230977,-0.910759075768811,0.7534663177226154
2024-10-31,-0.0976018286012225,-0.940078476682368,0.7448748194799228
2024-11-30,-0.0970894966112714,-0.9498041411663308,0.7556251479437879
2024-12-31,-0.0973953944931442,-0.960226564256546,0.7654357752702574
2025-01-31,-0.0853218112727882,-0.9581522587205724,0.7875086361749959
2025-02-28,-0.0904194501329138,-0.9731359122364128,0.7922970119705852
2025-03-31,-0.0930022824628576,-0.9854952599955312,0.7994906950698157
2025-04-30,-0.0957191438213049,-0.997882697408877,0.8064444097662671
2025-05-31,-0.0983899828266521,-1.0101215441419191,0.8133415784886151
2025-06-30,-0.1007154459455487,-1.0219156426319116,0.8204847507408143
2025-07-31,-0.115669076971885,-1.0462415700381764,0.8149034160944063
