Variable,Chi2_Score,p_value
ESTADO,6.8152903414054915,0.03311909844487923
CLASIFICACION,3162.2947184121467,0.0
CLASE,872.8385852155754,2.9208511428427493e-190
SERVICIO,844.065904555387,5.169132260879593e-184
CARROCERIA,37107.765959143,0.0
DEPARTAMENTO,3029.9423517732475,0.0
