COMBUSTIBLE,ESTADO,MODELO,FECHA_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,POTENCIA,EJES
GASO ELEC,ACTIVO,2020,2021-01-27,AUTOMOVIL,CAMIONETA,Particular,FORD,ESCAPE SE HEV,WAGON,2488.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,163.0,2.0
GASO ELEC,ACTIVO,2022,2022-04-27,AUTOMOVIL,AUTOMOVIL,Particular,BYD,QIN PLUS DMI,SEDAN,1498.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,214.0,2.0
GASO ELEC,ACTIVO,2023,2022-09-28,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,88.0,2.0
GASO ELEC,ACTIVO,2023,2022-08-30,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,SECRETARÍA DE MOVILIDAD DE MANIZALES,MANIZALES,Caldas,126.0,2.0
GASO ELEC,ACTIVO,2020,2020-01-16,AUTOMOVIL,CAMIONETA,Particular,AUDI,Q8,WAGON,2995.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,340.0,2.0
GASO ELEC,ACTIVO,2019,2018-08-28,AUTOMOVIL,CAMIONETA,Particular,KIA,NIRO,WAGON,1580.0,SECRETARÍA DE MOVILIDAD DE MANIZALES,MANIZALES,Caldas,139.0,2.0
GASO ELEC,ACTIVO,2023,2022-05-25,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,DPTO ADTVO TTEyTTO VILLA DEL ROSARIO,VILLA DEL ROSARIO,Norte de Santander,126.0,2.0
GASO ELEC,ACTIVO,2022,2022-07-28,AUTOMOVIL,CAMIONETA,Particular,VOLVO,XC60,WAGON,1969.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,264.0,2.0
GASO ELEC,ACTIVO,2022,2021-06-24,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-11-29,AUTOMOVIL,CAMIONETA,Particular,KIA,STONIC,WAGON,998.0,STRIA MCPAL TTOyTTE GIRON,GIRON,Santander,118.0,2.0
DIES ELEC,ACTIVO,2005,2014-01-24,AUTOMOVIL,CAMION,Particular,MACK,MR-688-S,MEZCLADOR,12000.0,DIRECCION TERRITORIAL MAGDALENA,SANTA MARTA,Magdalena,400.0,3.0
GASO ELEC,ACTIVO,2022,2022-04-13,AUTOMOVIL,CAMIONETA,Particular,BMW,X3 XDRIVE30E,WAGON,1998.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,292.0,2.0
GASO ELEC,ACTIVO,2023,2022-06-01,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2022,2022-10-10,AUTOMOVIL,AUTOMOVIL,Particular,AUDI,A4,SEDAN,1984.0,STRIA TTOyTTE MCPAL FUNZA,FUNZA,Cundinamarca,190.0,2.0
GASO ELEC,ACTIVO,2022,2021-07-29,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,88.0,2.0
GASO ELEC,ACTIVO,2022,2021-08-04,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2021,2021-09-24,AUTOMOVIL,CAMPERO,Particular,SUBARU,XV 2.0I-S ES CVT,WAGON,1995.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,164.0,2.0
GASO ELEC,ACTIVO,2023,2022-07-05,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,DIR TTOyTTE BUCARAMANGA,BUCARAMANGA,Santander,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-11-18,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,88.0,2.0
GASO ELEC,ACTIVO,2022,2021-12-02,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,U TEC CONT/VIG/ REG TTOyTTE SANTA MARTA,SANTA MARTA,Magdalena,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-06-24,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-09-02,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2020,2020-12-18,AUTOMOVIL,CAMIONETA,Particular,FORD,ESCAPE TITANIUM HEV,WAGON,2488.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,163.0,2.0
GASO ELEC,ACTIVO,2021,2021-01-19,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2021,2021-09-20,AUTOMOVIL,CAMPERO,Particular,SUBARU,FORESTER 2.0I-S ES CVT,WAGON,1995.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,164.0,2.0
GASO ELEC,ACTIVO,2022,2021-09-03,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,88.0,2.0
GASO ELEC,ACTIVO,2022,2021-07-30,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-04-06,AUTOMOVIL,CAMIONETA,Particular,MAZDA,CX-30,WAGON,1998.0,STRIA TTOyTTE MCPAL FUNZA,FUNZA,Cundinamarca,153.0,2.0
GASO ELEC,ACTIVO,2023,2022-06-08,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-06-22,AUTOMOVIL,CAMIONETA,Particular,HYUNDAI,KONA HIBRIDA,WAGON,1580.0,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,103.0,2.0
